329 time:454.76,best fitness:-5.178914306662761
330 time:458.84,best fitness:-5.159351577571631
331 time:456.13,best fitness:-5.105157468365761
332 time:457.39,best fitness:-5.148436499702609
333 time:457.71,best fitness:-5.13876739685095
334 time:461.4,best fitness:-5.115338243200187
335 time:457.69,best fitness:-5.123060656851388
336 time:453.56,best fitness:-5.131598030509267
337 time:456.95,best fitness:-5.11999575632489
338 time:456.54,best fitness:-5.105914130602573
339 time:456.61,best fitness:-5.092536480358994
340 time:456.85,best fitness:-5.104268675590143
341 time:458.2,best fitness:-5.135790021224624
342 time:457.98,best fitness:-5.086450427788792
343 time:456.22,best fitness:-5.142936274372741
344 time:457.53,best fitness:-5.187617645492895
345 time:460.39,best fitness:-5.172263371309343
346 time:455.9,best fitness:-5.126537117945441
347 time:458.9,best fitness:-5.133578177653211
348 time:455.45,best fitness:-5.132595737948445
349 time:458.77,best fitness:-5.164965228381083
350 time:455.22,best fitness:-5.152521641162278
351 time:453.55,best fitness:-5.139862140660119
352 time:454.28,best fitness:-5.148528033192923
353 time:453.71,best fitness:-5.119295104193857
354 time:459.99,best fitness:-5.150520157983881
355 time:458.66,best fitness:-5.1695000515202905
356 time:458.74,best fitness:-5.1346859492190315
357 time:457.66,best fitness:-5.14506553384742
358 time:455.08,best fitness:-5.135789416242218
359 time:457.04,best fitness:-5.161681722932673
360 time:455.59,best fitness:-5.151156480720902
361 time:453.84,best fitness:-5.11148819457618
362 time:455.05,best fitness:-5.14771828535078
363 time:453.13,best fitness:-5.151477085086101
364 time:456.77,best fitness:-5.187536587653071
365 time:455.19,best fitness:-5.160392735534282
366 time:453.15,best fitness:-5.157599104469115
367 time:456.19,best fitness:-5.1265814481338055
368 time:458.75,best fitness:-5.137241091173438
369 time:464.87,best fitness:-5.127689101514005
370 time:457.73,best fitness:-5.161520951533216
371 time:455.37,best fitness:-5.125454529443895
372 time:456.19,best fitness:-5.12699151673539
373 time:456.16,best fitness:-5.144018626550847
374 time:457.68,best fitness:-5.13278826396959
375 time:454.24,best fitness:-5.092269564568724
376 time:451.72,best fitness:-5.1298084091555545
377 time:459.36,best fitness:-5.14318006405202
378 time:455.66,best fitness:-5.151930465691997
379 time:454.36,best fitness:-5.162052698446903
380 time:457.83,best fitness:-5.179693768809506
381 time:454.06,best fitness:-5.141012960041356
382 time:453.76,best fitness:-5.125298888480613
383 time:458.4,best fitness:-5.159055858455774
384 time:457.63,best fitness:-5.148335862337655
385 time:458.73,best fitness:-5.165720720532126
386 time:454.2,best fitness:-5.135560707395165
387 time:454.43,best fitness:-5.140985195208605
388 time:455.49,best fitness:-5.163426339117007
389 time:456.75,best fitness:-5.109719962504066
390 time:455.77,best fitness:-5.120436413338346
391 time:455.78,best fitness:-5.1397918916277785
392 time:456.57,best fitness:-5.1456240980983825
393 time:456.01,best fitness:-5.1465158415249075
394 time:456.78,best fitness:-5.118698962023496
395 time:456.94,best fitness:-5.093588986326749
396 time:455.51,best fitness:-5.125627336197718
397 time:456.74,best fitness:-5.145444813329594
398 time:454.87,best fitness:-5.160923674837839
399 time:453.06,best fitness:-5.157020191627998
400 time:456.63,best fitness:-5.099203588537366
401 time:455.37,best fitness:-5.113679263447464
402 time:454.91,best fitness:-5.169837121457111
403 time:452.89,best fitness:-5.168018764718809
404 time:456.76,best fitness:-5.134121753046808
405 time:453.54,best fitness:-5.1394641448695335
406 time:452.88,best fitness:-5.123935728999376
407 time:454.06,best fitness:-5.179927424465527
408 time:455.22,best fitness:-5.159281506266631
409 time:452.33,best fitness:-5.184507855097604
410 time:452.51,best fitness:-5.147351343867293
411 time:454.74,best fitness:-5.17964083839194
412 time:459.69,best fitness:-5.148228706113854
413 time:458.04,best fitness:-5.158918594678759
414 time:456.51,best fitness:-5.113886263791274
415 time:464.59,best fitness:-5.129013469461322
416 time:457.68,best fitness:-5.125949729038459
417 time:459.61,best fitness:-5.1164341859624844
418 time:458.54,best fitness:-5.074383864087011
419 time:457.46,best fitness:-5.135569679067184
420 time:464.3,best fitness:-5.153857338291878
421 time:457.75,best fitness:-5.164498674459077
422 time:461.18,best fitness:-5.108849470983153
423 time:455.91,best fitness:-5.140905866212593
424 time:456.49,best fitness:-5.180816830920094
425 time:455.65,best fitness:-5.145598952686785
426 time:464.37,best fitness:-5.1558028224044135
427 time:456.28,best fitness:-5.1576190901932115
428 time:460.19,best fitness:-5.14198612323508
429 time:459.4,best fitness:-5.169322883168035
430 time:452.7,best fitness:-5.11955689766783
431 time:458.16,best fitness:-5.1434997686555075
432 time:457.82,best fitness:-5.148565000236987
433 time:458.4,best fitness:-5.158438671290037
434 time:456.86,best fitness:-5.188817732943182
435 time:456.2,best fitness:-5.147524397108444
436 time:454.43,best fitness:-5.204498279865426
437 time:458.76,best fitness:-5.129921493530229
438 time:454.91,best fitness:-5.159646373859248
