299 time:151.45,best fitness:-15.980082578126831
300 time:150.36,best fitness:-15.760511452740358
301 time:153.9,best fitness:-15.204442624507747
302 time:156.99,best fitness:-15.150098470923767
303 time:154.19,best fitness:-15.132839711335066
304 time:155.86,best fitness:-14.832248876549286
305 time:152.44,best fitness:-15.863821185109044
306 time:154.88,best fitness:-15.839674742963346
307 time:153.86,best fitness:-15.096363913696669
308 time:158.24,best fitness:-14.946580708426103
309 time:156.95,best fitness:-16.16373299421672
310 time:153.99,best fitness:-15.453669955425333
311 time:155.37,best fitness:-15.009698292594264
312 time:156.56,best fitness:-15.413415420964695
313 time:154.34,best fitness:-15.219852838334779
314 time:156.16,best fitness:-15.743394040532095
315 time:161.08,best fitness:-14.62573056705351
316 time:158.09,best fitness:-15.146185306320211
317 time:157.68,best fitness:-15.235780745478666
318 time:153.89,best fitness:-15.037271324075808
319 time:156.9,best fitness:-14.974555535044823
320 time:154.88,best fitness:-15.448570199076178
321 time:155.24,best fitness:-15.366921273507726
322 time:153.57,best fitness:-15.317701253459857
323 time:156.09,best fitness:-16.018250096495052
324 time:153.18,best fitness:-15.128269886534516
325 time:153.55,best fitness:-15.325434116795195
326 time:152.51,best fitness:-14.975547741362801
327 time:153.22,best fitness:-15.222623913256419
328 time:154.13,best fitness:-15.228227370319168
329 time:154.76,best fitness:-15.558454209448826
330 time:156.55,best fitness:-15.704855014692038
331 time:154.03,best fitness:-15.61482270505025
332 time:150.51,best fitness:-15.074913269452026
333 time:153.72,best fitness:-14.853474337149764
334 time:150.56,best fitness:-15.388622806581557
335 time:156.83,best fitness:-15.682893780068694
336 time:153.04,best fitness:-15.140609747072673
337 time:156.74,best fitness:-15.291787190111862
338 time:153.82,best fitness:-15.380590488011839
339 time:154.7,best fitness:-14.954408485199837
340 time:152.41,best fitness:-15.131486345629229
341 time:156.86,best fitness:-15.881081223955638
342 time:154.12,best fitness:-15.191780752751612
343 time:154.6,best fitness:-15.240661571828175
344 time:155.4,best fitness:-15.51573550481636
345 time:153.51,best fitness:-15.07545625752786
346 time:153.93,best fitness:-15.437024321068074
347 time:155.12,best fitness:-15.490258360155812
348 time:155.41,best fitness:-15.253598321729791
349 time:155.84,best fitness:-15.272694344551411
350 time:155.56,best fitness:-15.310014690110918
351 time:155.2,best fitness:-15.467336296268696
352 time:155.79,best fitness:-16.017747329835455
353 time:154.83,best fitness:-15.843673338453234
354 time:154.98,best fitness:-15.239549321992634
355 time:155.75,best fitness:-15.49926657777157
356 time:155.92,best fitness:-15.639798645117843
357 time:157.93,best fitness:-15.605684540208266
358 time:157.09,best fitness:-15.295154564348962
359 time:156.1,best fitness:-15.316778546131749
360 time:153.74,best fitness:-15.53771313790453
361 time:155.65,best fitness:-15.164226992316408
362 time:157.24,best fitness:-15.000188746671817
363 time:155.6,best fitness:-15.70380763427076
364 time:155.78,best fitness:-15.16085406294133
365 time:156.27,best fitness:-15.38905533630597
366 time:154.57,best fitness:-15.560101072017032
367 time:158.78,best fitness:-15.07680481367405
368 time:155.98,best fitness:-15.202470735804324
369 time:156.35,best fitness:-15.92682449477194
370 time:155.43,best fitness:-15.378324036041768
371 time:156.14,best fitness:-15.325266862780557
372 time:161.71,best fitness:-15.268006948831632
373 time:157.04,best fitness:-15.242047680321983
374 time:157.37,best fitness:-16.30412195538358
375 time:154.54,best fitness:-14.768918552823656
376 time:157.98,best fitness:-11.853700317839257
377 time:155.75,best fitness:-11.340067949980645
378 time:156.53,best fitness:-12.3014901498522
379 time:155.32,best fitness:-11.841662041902232
380 time:156.48,best fitness:-11.348476068908647
381 time:156.31,best fitness:-12.355085298064743
382 time:154.8,best fitness:-11.924208437387882
383 time:154.54,best fitness:-11.587932993280289
384 time:156.07,best fitness:-11.437930744440202
385 time:156.29,best fitness:-11.597508029199554
386 time:153.85,best fitness:-11.632208706280094
387 time:155.36,best fitness:-11.573054133104458
388 time:156.46,best fitness:-11.762274240285562
389 time:152.82,best fitness:-11.35199339743526
390 time:158.72,best fitness:-11.721079666720897
391 time:156.34,best fitness:-11.861453390769375
392 time:157.63,best fitness:-11.99855917720811
393 time:156.54,best fitness:-11.379475724992615
394 time:155.2,best fitness:-11.533774249936911
395 time:156.08,best fitness:-11.666627963944942
396 time:155.21,best fitness:-10.904421999917568
397 time:156.04,best fitness:-11.702992818101288
398 time:153.75,best fitness:-11.60852424503163
399 time:152.08,best fitness:-11.224949674599157
400 time:155.1,best fitness:-11.764370723978184
