529 time:71.6,best fitness:71.13815384615384
530 time:71.75,best fitness:71.13615384615386
531 time:71.86,best fitness:71.13515384615384
532 time:71.83,best fitness:71.13545384615384
533 time:71.39,best fitness:71.13565384615383
534 time:71.09,best fitness:71.13115384615385
535 time:71.67,best fitness:71.13613846153845
536 time:71.46,best fitness:71.13865384615386
537 time:71.39,best fitness:71.13865384615383
538 time:71.74,best fitness:71.14015384615385
539 time:72.23,best fitness:71.13515384615386
540 time:71.96,best fitness:71.13815384615384
541 time:71.68,best fitness:71.13215384615384
542 time:71.18,best fitness:71.13965384615385
543 time:71.65,best fitness:71.13615384615385
544 time:71.43,best fitness:71.13565384615383
545 time:71.95,best fitness:71.12965384615384
546 time:71.97,best fitness:71.13615384615386
547 time:71.4,best fitness:71.13615384615386
548 time:71.75,best fitness:71.13815384615384
549 time:71.32,best fitness:71.12715384615385
550 time:71.28,best fitness:71.12865384615384
551 time:71.32,best fitness:71.13865384615383
552 time:71.35,best fitness:71.13365384615386
553 time:71.59,best fitness:71.13615384615386
554 time:71.78,best fitness:71.13865384615386
555 time:71.74,best fitness:71.13615384615383
556 time:71.57,best fitness:71.14065384615384
557 time:71.6,best fitness:71.1304076923077
558 time:71.13,best fitness:71.13715384615385
559 time:71.66,best fitness:71.14115384615384
560 time:71.78,best fitness:71.14065384615384
561 time:72.02,best fitness:71.13665384615385
562 time:71.94,best fitness:71.13675384615385
563 time:71.86,best fitness:71.13615384615386
564 time:72.21,best fitness:71.13215384615384
565 time:72.2,best fitness:71.13815384615384
566 time:71.76,best fitness:71.13315384615385
567 time:72.84,best fitness:71.13715384615385
568 time:72.07,best fitness:71.14115384615384
569 time:71.89,best fitness:71.13465384615384
570 time:72.36,best fitness:71.13486923076923
571 time:72.25,best fitness:71.1330923076923
572 time:72.62,best fitness:71.14015384615385
573 time:72.5,best fitness:71.13965384615385
574 time:72.13,best fitness:71.13915384615385
575 time:70.94,best fitness:71.1356923076923
576 time:72.79,best fitness:71.13085384615384
577 time:72.32,best fitness:71.13765384615384
578 time:72.67,best fitness:71.13591538461537
579 time:72.35,best fitness:71.13265384615384
580 time:71.22,best fitness:71.14015384615385
581 time:70.93,best fitness:71.13496923076923
582 time:71.12,best fitness:71.13465384615384
583 time:71.95,best fitness:71.13815384615384
584 time:71.74,best fitness:71.13665384615385
585 time:72.44,best fitness:71.13265384615384
586 time:71.55,best fitness:71.13765384615384
587 time:71.92,best fitness:71.13715384615385
588 time:72.05,best fitness:71.10765384615385
589 time:71.85,best fitness:71.13915384615385
590 time:71.92,best fitness:71.13065384615385
591 time:72.15,best fitness:71.13365384615386
592 time:72.25,best fitness:71.13369999999999
593 time:72.28,best fitness:71.13718461538461
594 time:71.73,best fitness:71.13165384615385
595 time:72.24,best fitness:71.14015384615385
596 time:72.59,best fitness:71.13965384615383
597 time:72.28,best fitness:71.1304
598 time:71.95,best fitness:71.13426923076923
599 time:72.14,best fitness:71.14015384615385
600 time:72.12,best fitness:71.13865384615384
601 time:72.31,best fitness:71.13195384615383
602 time:71.71,best fitness:71.12982307692309
603 time:72.41,best fitness:71.13765384615384
604 time:71.44,best fitness:71.12923076923076
605 time:71.68,best fitness:71.13265384615386
606 time:71.72,best fitness:71.12926923076924
607 time:72.22,best fitness:71.13965384615383
608 time:71.77,best fitness:71.13096153846152
609 time:72.17,best fitness:71.12965384615384
610 time:73.27,best fitness:71.13115384615384
611 time:71.7,best fitness:71.11816923076924
612 time:72.21,best fitness:71.13133846153846
613 time:71.99,best fitness:71.12765384615383
614 time:71.82,best fitness:71.13965384615383
615 time:71.15,best fitness:71.13815384615384
616 time:73.27,best fitness:71.13215384615384
617 time:72.59,best fitness:71.13515384615386
618 time:72.33,best fitness:71.13665384615385
619 time:71.68,best fitness:71.14015384615385
620 time:72.07,best fitness:71.12815384615385
621 time:71.94,best fitness:71.13715384615385
622 time:71.25,best fitness:71.13715384615385
